norm_name,college_teams,club_teams,review
alex flores,case western reserve (fighting gobies[a]); case western reserve-b (fighting gobies),exhaust pipe,
alex forde,middlebury (pranksters),adelphos; citywide special; john doe,
alex forsberg,utah (zion curtain),powderhogs; shrimp,
alex frandsen,brigham young (chi); brigham young-b (chi b),the killjoys,
alex fukuchi,boston university (boston university),ender's outcasts,
alex gekas,massachusetts-c (umass amherst developmental),shades,
alex gerstle,suny-cortland (team rocket),fusion; team rocket,
alex gloudeman,california-irvine (nightlife),oc crows; ziggurat ultimate,
alex green,purdue (undue ultimate),blink,
alex grimm,cal state-long beach (cal state-long beach ultimate); cal state-long beach (pyramid scheme),oc crows,
alex griswold,minnesota-duluth (northern lights),dingwop; swans,
alex gronau,georgia southern (eagles),savannah wild,
alex guerrero,alabama-huntsville (nightmares),apollo; freaks; ronin,
alex hain,pittsburgh-b (university of pittsburgh- b); watchung hills (warriors),barden btate bultimate,
alex hall-witt,oregon (ego),rhino slam!; scoop,
alex henderson,indiana (hoosiermama?s),brickyard; chicago machine,
alex henige,wisconsin-milwaukee (black cat),bux; mke,
alex herman,cal poly-slo (slocore); cal poly-slo-b (slob); cal poly-slo-c (sloc),wavestorms,
alex hubley,minnesota-duluth (northern lights),dingwop,
alex jackson,georgia state (underground),atlanta arson,
alex jayakar,connecticut (uconn grind),big muscle boys,
alex jenkins,marquette (birdhouse),lantern; pesterbug; richmond floodwall; silence of the clams,
alex jones,tennessee (tennessee),rebels,
alex kacsh,colorado-denver (frostbite),daybreak,
alex kauff,drexel (dragons); drexel (spitfire),bearfax,
alex kaylor,georgia tech-b (tribe),atlanta outlaws,
alex kelley,purdue (undue ultimate),lafayette street dogs,
alex kennedy,coastal carolina (beach chickens ),spring break '93; springs open team,
alex kenworthy,bryant (bryant craze),pesterbug; the ultimate team,
alex khater,george washington (g-dub hippos); oberlin (flying horsecows); oberlin-b (flying horsecows),adelphos; beef depot,
alex kim,loyola-chicago (darkwing),baemaker,
alex kozitza,minnesota-b (ugly duckling),knights of ni; overdrive,
alex kreuger,wisconsin-whitewater (sub*par),zoboomafoo,
alex labarge,penn state-behrend (justdisc league),dapper,
alex labrador,south carolina (gamecock ultimate); south carolina-b (south carolina),cockfight,
alex lemoncelli,pittsburgh (en sabah nur),impulse; puppies,
alex lesser,james madison-b (smellfish),bomb squad,
alex lien,st. olaf (berzerkers),overdrive,
alex longe,victoria (vikes),surf,
alex ma,northeastern-b (beastern); west windsor-plainsboro hs north (knights),mbta,
alex mardlin,michigan tech (discotech),mischief,
alex martinich,wisconsin-la crosse (badluc); wisconsin-milwaukee (black cat); wisconsin-milwaukee-b (blackout),mke,
alex mathis,georgia tech (tribe); georgia tech-b (tribe); north georgia (nighthawks),hooch,
alex meltzer,suny-albany (scam),fat and mediocre,
alex merrifield,brigham young-b (chi b),sundance kids,
alex meyer,michigan-b (michigan-b),journeymen,
alex miller,kent state (kent state damn gravity); nebraska (cornfed ultimate),carbon; enigma; mycellium,
alex mudd,oklahoma (apes of wrath); oklahoma-b (apes of wrath b),supercell,
alex mullen,penn state (spank),pittsburgh stealers; pittsburgh temper,
alex murry,colorado mesa (colorado mesa mavericks),buoyancy,
alex newton,minnesota-b (minnesota b),ope,
alex olson,arizona-b (swashbucklers); carleton college (carleton college (cut)),voodoo,
alex orseno,pittsburgh-b (en sabah nur-b),slag dump,
alex parikh-briggs,california-b (ursa minor),battery; east bay earthworms,
alex paulauskas,illinois (rise),trident; trident ii,
alex pistolesi,richmond (spidermonkeys),blueprint; magma bears; oak grove boys; oakgrove boys,
alex portillo,suny-stony brook (panic),suny-stony brook (panic),
alex poy,gold rush,bay dog; journeymen,
alex python,ithaca (nawshus ultimate),dapper,
alex rafkin,carleton college-gop (gods of plastic),garden state ultimate; knights of ni; snip snip; sub zero,
alex ricci,james madison (hellfish),winc city fog; winc city fog of war,
alex rice-slothower,vanderbilt (armada),john doe; overdrive,
alex rini,colorado cutthroat u-20 boys; colorado cutthroat: youth club u-20 boys,colorado cutthroat u-20 boys; colorado cutthroat: youth club u-20 boys,
alex rossmeissl,puget sound (postmen),anchor; battery; red dawn; seven gills,
alex rowe,alabama-b (yellow hammer); lamar (lu dark matter),second nature,
alex rudy,ohio state (leadbelly),babe; flying dutchmen,
alex rybak,purdue (undue ultimate),lafayette street dogs,
alex rzasnicki,texas a&m-b (dozen matter),quaze,
alex santai,oklahoma christian (eagles),barnstorm,
alex schlegel,american (stall 11); lehigh (lehigh ),lehigh (lehigh ); path of totality,
alex scott,south carolina-b (south carolina),jerk factory,
alex shrader,emory (emory juice),bullet,
alex solano,colby (cdc (men's)),new jersey gemini,
alex southard,oklahoma state (ultimato),rawhide; supercell,
alex spenceley,pittsburgh (en sabah nur),pittsburgh temper; slag dump; sord,
alex staco,suny-fredonia (terrifying turtles),long island riff raff,
alex stevenson,miami (ohio) (miami boogiemen); miami alumni; miami-upper (miami alum); miami-upper-upper,enigma; flying dutchmen; tanasi,
alex storrer,northeastern (huskies); stanford (stanford men's ultimate team),iditarod; mbta; scoop,
alex straczek,illinois state (gnomes); illinois state-b (gnomes b); rose-hulman (elephantitis),black market i; black market ii; blackest market; satellite; trident i; trident ii,
alex strong,washington-b (washington b),souf,
alex stumphauzer,drake (duc); heartbreak,castle; haymaker; heartbreak,
alex sylvester,massachusetts (zoodisc),sprout,
alex tacescu,worcester polytech (bullets ultimate); worcester polytech (bullets),hazard,
alex tam,northern illinois (wolfpack ultimate),black market ii; black market iii; blacker market; blackest market,
alex tatum,colorado (mamabird),johnny bravo; lotus,
alex theriot,wisconsin-eau claire (eauzone),nomad,
alex tsvetkov,minnesota (grey duck); minnesota (minnesota a),dinkytown doughboys; kenji's bbb; mallard; mallard ii,
alex tucker,houston (skyline),adventure time,
alex turney,charlottesville clownies; virginia (night train),puzzles; rush hour atl; vault,
alex valdes,texas-b (graze),stuff,
alex van der geest,arizona state (prime),drought; monsoon; nighthawk,
alex walker,rose-hulman (elephantitis); salt.,powderhogs; shrimp; x wives-a,
alex walsh,whitman (sweets); whitman (whitman sweets),emerald city; fungi,
alex warrington,ohio state (leadbelly),chimney; flying dutchmen,
alex warters,central florida (dogs of war); central florida-b (havoc),el niño,
alex webber,missouri (missouri),friendly fire,
alex wiersbitzky,penn state (spank),adelphos; philadelphia padawans,
alex wilcox,dc recruits,hb woodlawn flatball club,
alex will,maryland-baltimore county (booya),emu,
alex winsness,virginia tech (burn),little red wagon,
alex yannelli,cal poly-slo (slocore),shrimp,
alex yu,colorado (mamabird); colorado cutthroat u-20 boys,colorado cutthroat u-20 boys; colorado cutthroat: youth club u-20 boys; red lotus,
alex zheng,illinois (rise); minnesota-b (ugly duckling),colonels; haymaker; knights of ni; mallard ii; the body,
alex zhuang,duke (brimstone),carolina sky,
alexander (sascha) vogel,brigham young (chi); brigham young-b (chi b),hooch; lost boys; powderhogs,
alexander (zander) lutz,penn state (spank),ghostbusters; phantom; philadelphia pacmen,
alexander abrams,northeastern (huskies),mbta,
alexander allen,tennessee-chattanooga (swamp donkeys),nocturnal,
alexander belfiore,stanford (stanford bloodthirsty); stanford (stanford men's ultimate team),sockeye,
alexander bernier,missouri (missouri),castle,
alexander bork,colorado-b (cucu); colorado-c (rooster tussle),colorado cutthroat (colorado cutthroat); daybreak; inception,
alexander brewster,texas tech (tumbleweed),carbon; deaf fruit; iso atmo; prime,
alexander brouwer,baylor (stonewall a),nitro,
alexander chapman,minnesota-duluth (northern lights),dingwop,
alexander chen,case western reserve (fighting gobies[a]); rutgers (machine),chimney; rugrat knights-a,
alexander clare,ucla (smaug); ucla-b (ucla smoke),bart; green river swordfish,
alexander cretella,college of new jersey (revolution),garden state ultimate; tune-up,
alexander curreri,harvard (red line); rensselaer polytech (trudge),bruises,
alexander daley,charlottesville clownies; delaware (sideshow),watchdogs,
alexander davis,north carolina (darkside),brickhouse; cash crop; garden state ultimate; pony; ring of fire,
alexander dibenio,alabama-huntsville (nightmares),rampage; ronin; second nature,
alexander drogin,brown (brownian motion); brown-b (brown - b),providence poultry,
alexander fick,dartmouth (pain train),lantern,
alexander fischer,florida (florida),vicious cycle,
alexander gaggino,michigan (magnum),mango tree; mischief; nain rouge,
alexander gerber,brigham young (chi); brigham young-b (chi b),wretched refuse,
alexander gravatt,wisconsin-b (fauxdags),mad men,
alexander grega,delaware (sideshow); delaware-b (sideshow),delaware (sideshow); ez,
alexander grey,western washington (dirt),ham; list,
alexander heath,rice (cloud 9),h.i.p; shade,
alexander hegg,knox (river rats),mad men,
alexander hirsch,texas (tuff); texas-b (texas b),foxtrot,
alexander honeycutt,cal poly-pomona (cow ultimate),oc crows,
alexander hunkins,oberlin (flying horsecows),citywide special; duck and cover; scoop,
alexander janelle,florida (florida); texas (tuff),gamble; h.i.p; vicious cycle,
alexander jarufe,akron (goon squad); akron (goonsquad),chimney,
alexander jiang,rice (cloud 9),dth,
alexander jirele,minnesota (grey duck),climax; garden state ultimate; mallard,
alexander kabat,washington (sundodgers),souf,
alexander katz,seven hills red boys (high school),souf,
alexander kerr,maryland (maryland ultimate),oak grove boys; town hall stars,
alexander kirages,carnegie mellon (mr. yuk),pittsburgh stealers; pittsburgh temper; trident; trident ii; trident iii,
alexander knock,utah (zion curtain),powderhogs; shrimp,
alexander krantz,michigan state (arc); michigan state-b (riot control),eldl,
alexander kucich,carleton college (carleton college (cut)); carleton college (cut); carleton college-cut (cut),one night,
alexander laney,georgia tech-b (tribe),savannah wild,
alexander lerner,north carolina state (nc state alpha); north carolina state (nc state wolfpack),buda; somerville bag,
alexander ludwig,north carolina-b (batch),honey bashfords,
alexander manos,connecticut (uconn huskies),colt,
alexander masters,oak storm,scooby coupy coup,
alexander mcferran,central florida (dogs of war); central florida-b (havoc),degens of war; omen,
alexander mcniel,marcus (marcus); oklahoma state (ultimato),dallas united: desperados; texas two step,
alexander mejido,central florida (dogs of war); central florida-b (havoc),degens of war,
alexander meredith,army (army west point); army (army- west point),army-west point,
alexander mooney,central florida (dogs of war),omen; reptar,
alexander morris,brown-b (brown - b),providence poultry; the berkeley bobcats,
alexander nessel,michigan state-b (riot control); toronto (tula),diesel,
alexander nichols,colorado-b (cucu); colorado-b (mamabird - b),afc rumble; iso atmo,
alexander noll,suny-stony brook (panic),suny-stony brook (panic),
alexander nordahl,houston (skyline),beef depot,
alexander pan,california (california-berkeley),gulls,
alexander philips,brown-b (brown - b),providence poultry,
alexander pierce,pittsburgh-b (university of pittsburgh- b),happy valley roofing and mustache supply; pittsburgh stealers,
alexander prescott,arizona (sunburn),sonoran dog; sonoran pups; sprawl,
alexander roberts,michigan (magnum),f-words,
alexander rodriguez,florida gulf coast (fgcu eagles),el niño; texas duffy; uproar,
alexander rudin,virginia (night train),oakgrove boys,
alexander russomanno,michigan (magnum),high five,
alexander schatzberg,cornell (buds),los buds,
alexander simmons,east tennessee state (dry bones),electricity,
alexander skerbitz,texas-dallas (woof),sprawl,
alexander smith,grove city (grove city doomsday); rensselaer polytech (trudge),alibi; hazard,
alexander sokoly,grand valley state (lakers),midnight meat train,
alexander solimene,east carolina (irates),riverside riptide,
alexander southern,vassar (swinging monks),vassar (swinging monks),
alexander subarsky,british columbia -b (shipwreck),joe fisher,
alexander tayyeb,north carolina state (nc state alpha); north carolina state-b (six pack),brickhouse; cash crop 2; kansas city smokestack; nc brickhouse-upper,
alexander tett,sam houston (deuce ultimate); sam houston state (deuce ultimate),texas heatwave,
alexander thompson,texas a&m (dozen); texas a&m-b (dozen matter),flash flood; gamble,
alexander tovar,southern california (usc lockdown),gridlock; hazard; oc crows; zyzzyva,
alexander utsis,illinois-b (boomland),fuse; house,
alexander vasil,minnesota-duluth (northern lights),mallard,
alexander vasserman,drexel (dragons); drexel (spitfire); johns hopkins (dangerzone); johns hopkins-b (dangerzone b),adelphos; bomb squad; mob ultimate,
alexander velberg,mit (grim beaver); rochester (piggies),genny lite,
alexander vina,chico state (chico state wildcats),float; journeymen,
alexander vu,gold rush; tufts (elephant men),oat; scoop,
alexander wegman,truman state (jujitsu ); truman state (jujitsu),fifty-fifty; tsunami b,
alexander williamson,james madison-b (smellfish),crypt; richmond floodwall; winc city fog of war,
alexander wright,towson (pandamonium); towson -b (bamboozle),bomb squad; emu; mob ultimate,
alexander yang,pittsburgh (en sabah nur); pittsburgh-b (university of pittsburgh- b); west windsor-plainsboro hs north (knights),puppies,
alexander you,texas (tuff),clutch; papa bear; singlewide,
alexandre fall,virginia (night train),richmond floodwall; truck stop,
alexandre kupelian,california-santa barbara (black tide),socal condors; sundowners,
